initial_name,capacity,number_of_nodes,highest_dist,lowest_dist,mean_dist,median_dist,25th_dist,75th_dist,sd_dist,highest_demand,lowest_demand,mean_demand,median_demand,25th_demand,75th_demand,sd_demand,original_objective,10x_split_objective,rounded_split_objective,split_in_10x,split_in_rounded,num_of_10x_splits,num_of_rounded_splits
p01_3,160,50,63.65532185,5.099019514,34.92873458,37.69215087,23.31298996,47.08400991,15.19945724,80,23,53.2,54.5,36.5,66.75,17.03760547,1534.52,1520.02,1515.49,yes,yes,5,6
p01_30,160,50,67.2086304,2,38.40583664,43.62203295,27.75197135,49.95491871,16.43933429,78,20,48.7,48,31,63.75,17.5934647,1613.58,1581.43,1585.37,yes,yes,7,8
p01_4,160,50,70.00714249,5.385164807,38.17250404,39.31540757,26.67953233,47.66544565,14.81822983,79,20,52.06,52,38.25,69.75,17.03691287,1670.36,1615.32,1612.97,yes,yes,5,8
p01_5,160,50,66.46803743,7.071067812,40.05197927,44.54049583,28.609435,51.31242918,14.78644504,78,20,52.2,52.5,37.25,64.75,16.73798076,1747.18,1703.4,1717.55,yes,yes,9,6
p01_6,160,50,65.06919394,5,40.09672931,42.91227143,30.19847384,52.45946657,15.91390268,80,21,49.1,47,32.25,66.75,18.66788686,1682.36,1618.6,1630.63,yes,yes,7,9
p01_7,160,50,63.89053138,2.236067977,36.99651189,40.07318166,22.54438988,50.2016073,16.55409641,79,22,49.14,49,34.5,62,17.05521621,1639.28,1602.67,1595.06,yes,yes,5,6
p01_8,160,50,65.94694838,5.385164807,37.19070064,38.76828437,27.22807827,48.66894092,14.7956678,80,20,53.66,58,36.25,67.5,18.47875537,1701.53,1652.02,1690.18,yes,yes,9,15
p01_9,160,50,67.88225099,6.32455532,41.871127,43.19934576,32.21772839,52.90688335,14.59961382,80,22,50.54,51,37.5,59,16.19161511,1729.33,1697.86,1702,yes,yes,4,5
p02_1,140,75,67.2086304,2.236067977,39.3422132,41.67733197,28.25493706,49.86966023,13.56823229,70,18,45.82666667,47,31.5,60,15.79145198,2423.33,2367.11,2366.75,yes,yes,13,13
p02_10,140,75,67.17886572,5.656854249,40.47769318,42.72001873,31.98398914,48.02603207,12.94332601,69,17,45.96,50,34.5,57,14.36610826,2596.62,2518.04,2512.09,yes,yes,13,12
p02_11,140,75,67.88225099,11.04536102,38.07176084,41.23105626,28.76921036,47.78063467,12.93036581,68,17,40.88,41,26,54,15.92562715,2173.13,2140.83,2139.94,yes,yes,10,10
p02_12,140,75,67.17886572,0,38.91426904,40.79215611,27.75681649,49.09610133,14.10152469,69,18,43.08,42,32,53,13.56049163,2324.89,2306.21,2297.63,yes,yes,5,9
p02_13,140,75,61.61980201,1,36.34703207,36.138622,26.51390574,47.57385123,13.23127331,70,17,42.04,39,28.5,54.5,15.77545773,2166.21,2141.41,2145.51,yes,yes,4,8
p02_14,140,75,65.11528238,5.830951895,38.39134666,36.68787266,28.74711226,48.05723471,12.53998279,70,17,42.94666667,44,28.5,58.5,15.91635916,2317.86,2268.04,2282.56,yes,yes,7,14
p02_15,140,75,67.26812024,4.242640687,37.79472879,38.89730068,26.24824962,49.52759611,14.82785022,70,17,44.53333333,45,28,60,17.11867077,2338.21,2300.07,2310.95,yes,yes,15,10
p02_16,140,75,70.00714249,8.602325267,40.14259517,40.49691346,31.39024858,50.80161257,14.19901592,69,17,40.13333333,37,30.5,49.5,13.75047474,2259.22,2248.33,2249.47,yes,yes,8,17
p02_17,140,75,62.80127387,8.94427191,36.17087118,37.44329045,28.11579669,45.84731932,12.35157527,70,17,46.02666667,48,36,59,14.2678878,2284.58,2240.41,2234.22,yes,yes,13,11
p02_18,140,75,69.3108938,3,37.43810244,40.71854614,25.28748499,50.20941864,15.99172137,68,17,43,44,29,55,14.86741403,2279.24,2259.75,2270.35,yes,yes,12,16
p02_19,140,75,69.29646456,5,41.01338323,43.10452412,31.99149077,49.92530636,13.39585991,70,17,38.92,36,23,50,16.18951101,2202.89,2198.76,2169.57,yes,yes,6,6
p02_2,140,75,65.7951366,6.708203932,39.74596313,41.76122604,29.18388981,50.11724207,14.63438013,69,17,43.26666667,43,27.5,58.5,16.35141856,2411.12,2397.21,2374.98,yes,yes,10,5
p02_20,140,75,64.5368112,2.236067977,37.66540767,40,28.8347915,46.61544808,14.79269184,70,17,39.84,37,28,53,15.59148486,2160.52,2138.64,2116.91,yes,yes,12,9
p02_21,140,75,66.48308055,3.605551275,38.50103602,41.03656906,27.36630306,49.58032784,15.0014519,70,18,46.46666667,48,33,59,15.5754793,2518.3,2501.26,2485.41,yes,yes,4,16
p02_22,140,75,63.12685641,1.414213562,38.19722936,41.10960958,29.06021978,49.33105012,14.30798155,70,17,43.12,39,28,58,16.05238092,2315.36,2291.23,2306.71,yes,yes,9,14
p02_23,140,75,67.89698079,1,39.40960377,43,30.08078862,49.61349369,14.64797361,68,17,44,46,33,55.5,14.08166657,2436.96,2359.69,2362.3,yes,yes,13,10
p02_24,140,75,70.00714249,1.414213562,38.93573653,40.01249805,31.32085443,48.0780545,15.38034743,70,18,41.77333333,39,29.5,54,15.40266066,2349.45,2305.96,2291.74,yes,yes,11,15
p02_25,140,75,64.5368112,9.486832981,39.45190783,41.88078318,27.02771113,49.78777052,14.53915295,69,18,39.02666667,38,25.5,50.5,15.24027413,2186.21,2145.14,2171.22,yes,yes,10,6
p02_26,140,75,65.11528238,2.236067977,38.0097545,39.66106403,27.90143877,48.9282461,12.8231001,70,17,43.52,43,28,56,16.21715964,2287.21,2212.32,2226.96,yes,yes,10,9
p02_27,140,75,67.89698079,6.32455532,39.36510455,40.19950248,29.9123475,49.49747056,13.43485058,70,17,41.64,38,26,58,16.71218318,2297.49,2255.61,2250.7,yes,yes,11,12
p02_28,140,75,64.44377394,5,37.88624528,39.20459157,27.14593808,48.882345,14.73111509,70,17,43.42666667,41,28,60,16.72138219,2222.18,2213.49,2180.79,yes,yes,6,14
p02_29,140,75,68.62215386,4.123105626,39.24947546,41.86884283,26.92582404,49.12658814,14.56246349,70,17,42.34666667,41,28,57,16.65692515,2306.23,2247.5,2256.44,yes,yes,11,9
p02_3,140,75,63.78087488,7.810249676,37.5764491,38.07886553,26.50131683,47.23307838,15.33874636,69,19,45.10666667,44,34,59,14.60098018,2328.17,2278.36,2313.37,yes,yes,16,8
